,Time (s),Latitude (°),Longitude (°),Altitude (m),Altitude WGS84 (m),Speed (m/s),Direction (°),Distance (km),Horizontal Accuracy (m),Vertical Accuracy (m),Satellites
0,5.176781343,49.45705513,2.112255776,97.64459183,144.0,4.119999886,297.2999878,0.003076192838,25.5,23.0,10.0
1,6.23768788,49.45706649,2.112216968,104.6445749,151.0,4.519999981,297.7999878,0.007808477883,10.0,11.0,17.0
2,7.233537033,49.45707609,2.112153182,101.6445416,148.0,4.460000038,297.0,0.01160528696,9.5,11.0,20.0
3,8.228809263,49.45709771,2.11211253,101.6445298,148.0,4.309999943,297.2000122,0.01449941275,8.5,10.0,17.0
4,9.238957647,49.45711955,2.112090737,104.6445297,151.0,4.049999714,300.3999939,0.01841672574,7.0,8.0,19.0
5,10.23222976,49.45713577,2.112042625,103.6445101,150.0,4.019999981,300.0,0.02345466149,6.0,7.0,20.0
6,11.23213726,49.4571589,2.111982694,102.6444874,149.0,4.299999714,302.1000061,0.0290712715,5.5,7.0,21.0
7,12.23646307,49.45718028,2.111912286,100.6444572,147.0,4.400000095,301.2999878,0.03384401585,5.0,6.0,22.0
8,13.23429061,49.45720421,2.111857468,99.64443808,146.0,4.099999905,300.2000122,0.03856545804,4.5,6.0,22.0
9,14.22809441,49.45722722,2.111802567,99.64441838,146.0,4.289999962,300.2999878,0.04305841844,5.0,6.0,19.0
10,15.23498491,49.45725119,2.111752527,99.64440226,146.0,4.239999771,302.2999878,0.04713219636,4.0,5.0,22.0
11,16.23870926,49.45727122,2.111705337,98.64438548,145.0,4.369999886,301.1000061,0.05148444768,4.0,5.0,23.0
12,17.2415078,49.45729574,2.111658398,99.64437159,146.0,4.179999828,301.2999878,0.05598384675,4.0,5.0,23.0
13,18.24220133,49.45731921,2.111607688,99.64435475,146.0,4.179999828,300.6000061,0.06022536723,3.5,4.0,24.0
14,19.24133502,49.45733974,2.111558234,99.64433689,146.0,4.199999809,300.7999878,0.06420176967,3.5,4.0,24.0
15,20.24071649,49.45736191,2.111515068,99.64432388,146.0,4.079999924,302.2999878,0.06834081276,3.0,4.0,25.0
16,21.24144856,49.45738668,2.11147232,100.6443127,147.0,4.159999847,304.2999878,0.07272992626,3.5,4.0,24.0
17,22.24226122,49.45741225,2.111426052,100.6442999,147.0,4.199999809,302.5,0.07630274918,3.0,4.0,25.0
18,23.24079379,49.45743295,2.111388249,101.6442893,148.0,4.059999943,302.5,0.08014503906,3.0,4.0,24.0
19,24.24438041,49.45744996,2.111341981,100.6442712,147.0,4.199999809,301.7999878,0.08399950914,3.0,4.0,24.0
20,25.24195814,49.4574697,2.111298144,100.6442563,147.0,4.159999847,301.7000122,0.087809395,3.0,4.0,23.0
21,26.23878164,49.45748529,2.111251205,99.64423701,146.0,4.069999695,302.7000122,0.09189614127,3.0,4.0,24.0
22,27.24153136,49.45750688,2.11120544,100.6442221,147.0,3.899999857,304.3999939,0.09579510101,3.0,4.0,21.0
23,28.2407824,49.45752834,2.111162776,100.6442089,147.0,3.949999809,304.0,0.099762558,3.0,3.0,23.0
24,29.2415484,49.45754891,2.111117933,100.6441939,147.0,3.980000019,303.7999878,0.1034357425,3.0,4.0,22.0
25,30.24343702,49.45756807,2.111076526,100.6441802,147.0,3.849999905,304.6000061,0.1073220826,3.5,4.0,22.0
26,31.23780063,49.4575876,2.111031935,100.6441647,147.0,3.7099998,304.2999878,0.1111273455,3.5,4.0,22.0
27,32.2382054,49.45760742,2.110989019,100.6441504,147.0,3.649999857,304.5,0.1149199817,3.0,4.0,21.0
28,33.24189263,49.45762787,2.110947026,100.6441371,147.0,3.589999914,305.2000122,0.1187423097,3.0,4.0,21.0
29,34.24409348,49.45764669,2.110902769,99.64412136,146.0,3.699999809,304.0,0.1223652163,3.0,3.0,21.0
30,35.24446717,49.45766567,2.110862033,99.64410791,146.0,3.619999886,303.5,0.1259979759,3.5,4.0,22.0
